Id,Name,Longitude,Latitude
1,No Name Set,138.448596853811,-34.9457526716298
2,DIAGONAL ROAD - CLIFF STREET,138.52328863985,-34.9866570990764
3,HANSON ROAD - FIRST AVENUE RN,138.54819393432,-34.8723969826738
4,SEMAPHORE ROAD - MILITARY ROAD,138.48399004463,-34.8389114327704
6,COMMERCIAL ROAD - ST VINCENT STREET,138.505375933324,-34.844355315532
7,GRAND JUNCTION ROAD - PORT ROAD,138.509519471141,-34.8523551741615
8,SALISBURY HWY -MAWSON CONNECTOR,138.606572888781,-34.8013782915609
9,GRAND JUNCTION ROAD  ADDISON ROAD,138.528935107456,-34.8514533240749
10,GRAND JUNCTION ROAD  HANSON ROAD,138.546718372777,-34.850641629226
11,SOUTH ROAD EASTERN ACCESS RAMP  GRAND JUNCTION ROAD,138.564763739578,-34.8498325713918
12,GRAND JUNCTION ROAD -CAVAN ROAD -CHURCHILL ROAD,138.582392299032,-34.8490576072767
13,PORT WAKEFIELD ROAD - CAVAN ROAD,138.59942095807,-34.8373061035417
14,MAIN NORTH ROAD - DIAGONAL ROAD,138.615969034725,-34.8261286404911
15,MAIN NORTH ROAD-GRJUNCTRD-PTWAKEFIELD ROAD,138.600279636285,-34.8480237515428
16,GRAND JUNCTION ROAD -HAMPSTEAD ROAD -BRIENS ROAD,138.617357959773,-34.8473500228122
17,GRAND JUNCTION ROAD -FOSTERS ROAD,138.635337064663,-34.8469077695559
18,GRAND JUNCTION ROAD - NORTH EAST ROAD,138.671006917254,-34.8449910334376
19,TORRENS ROAD -ADDISON ROAD -CHELTENHAM PDE,138.529400513714,-34.863677736372
20,TORRENS ROAD - WOODVILLE ROAD,138.543473060064,-34.8722475522385
21,TORRENS ROAD - HANSON ROAD,138.548394128388,-34.8752316530667
22,TORRENS ROAD -REGENCY ROAD -DAVID TERRACE,138.550768944157,-34.8766678147799
23,REGENCY ROAD - DAYS ROAD,138.566286868626,-34.8753299006604
24,REGENCY ROAD - CHURCHILL ROAD,138.58409738835,-34.874504362213
25,MAIN NORTH ROAD - REGENCY ROAD,138.601886105496,-34.8736667557969
26,HAMPSTEAD ROAD -REGENCY ROAD,138.619169373234,-34.8725191392462
27,NORTH EAST ROAD  MULLER ROAD,138.63695880083,-34.8712526839156
28,NORTH EAST ROAD  POOLE AV  OG ROAD,138.632906761675,-34.8744732953741
29,NORTH EAST ROAD -NORTHCOTE TERRACE-STEPHEN TERRACE,138.60948720866,-34.8933427490488
30,NORTHCOTE TERRACE-ROBE TERRACE-MANN TERRACERN,138.609215894048,-34.9019466027185
31,MAIN NORTH ROAD -NOTTAGE TERRACE,138.603224046702,-34.8935078246835
32,MAIN NORTH ROAD -ROBE TERRACE-FITZROY TERRACE,138.597164317911,-34.8987068782572
33,TORRENS ROAD -FITZROY TERRACE-PARK TERRACE,138.588216415083,-34.8993679403759
34,TORRENS ROAD - CHURCHILL ROAD,138.58539338565,-34.8974998846622
35,SOUTH ROAD - TORRENS ROAD,138.570135084743,-34.8884062399596
36,TORRENS ROAD - DAYS ROAD - LAMONT STREET,138.567060843806,-34.8865507765841
37,PORT ROAD -PARK TERRACE -ADAM STREET RN,138.577036996148,-34.9085659201547
38,PORT ROAD - SOUTH ROAD,138.56638620421,-34.9012583801404
39,PORT ROAD - KILKENNY ROAD,138.548021776313,-34.8896026476278
40,PORT ROAD - WOODVILLE ROAD,138.535315527135,-34.8805922632941
41,PORT ROAD - CHELTENHAM PDE - WEST LAKES BLV,138.528092131011,-34.8763258083634
42,PORT ROAD - OLD PORT ROAD,138.51808203249,-34.8690903099192
43,OLD PORT ROAD - TAPLEYS HILL ROAD,138.512045730433,-34.8650545090487
44,FINDON ROAD -WOODVILLE ROAD -GLENROWAN ROAD,138.531323824655,-34.8853070470003
45,FINDON ROAD -CRITTENDEN ROAD -BALCOMBE AVE,138.531836627947,-34.8952246104712
46,MOUNT BARKER STRATHALBYN ROAD -DRUIDS AVE,138.855259000206,-35.065388947771
47,TAPLEYS HILL ROAD - GRANGE ROAD,138.51472783076,-34.9063694670613
48,GRANGE ROAD - FINDON ROAD,138.532557952303,-34.9054889548592
49,GRANGE ROAD -CRITTENDEN ROAD -FROBISHER AVE,138.54620253902,-34.9047827584298
50,GRANGE ROAD - HOLBROOKS ROAD,138.551309152125,-34.904534236419
51,GRANGE ROAD -SOUTH ROAD -MANTON ST,138.565865285941,-34.9044481810555
52,MAWSON CONNECTOR - MAIN ST,138.617016971319,-34.8056941937724
53,PORT WAKEFIELD ROAD - WATERLOO CORNER ROAD,138.58287596813,-34.7325672695115
54,SOUTH ROAD - HENLEY BEACH ROAD,138.569751771501,-34.9236823445965
55,HENLEY BEACH ROAD - MARION ROAD,138.55192843239,-34.9245774008506
56,HENLEY BEACH ROAD -HOLBROOKS ROAD,138.549056882234,-34.9247087877194
57,TAPLEYS HILL ROAD - HENLEY BEACH ROAD,138.517613953288,-34.9264409541476
58,JAMES CONGDON DR - RAILWAY TERRACE SOUTH,138.575677188418,-34.9302373087767
59,CROSS ROAD - CHITRAL TERRACE,138.563500593052,-34.9677471327836
