,site_no,hour_of_day,index,hourly_traffic_avg
0,3001,0,74.0,1691.536612021858
1,3001,1,41.0,1350.3590163934425
2,3001,2,58.0,1187.990710382513
3,3001,3,83.0,1134.693442622951
4,3001,4,86.0,1160.5180327868843
5,3001,5,122.0,1360.040983606557
6,3001,6,348.0,2160.0890710382487
7,3001,7,601.0,3506.061748633879
8,3001,8,833.0,4253.456830601093
9,3001,9,714.0,3984.0426229508194
10,3001,10,532.0,3970.7207650273217
11,3001,11,588.0,4180.440983606556
12,3001,12,612.0,4380.069945355192
13,3001,13,558.0,4314.345355191253
14,3001,14,499.0,4428.765027322408
15,3001,15,429.0,4597.003825136616
16,3001,16,442.0,4591.393442622953
17,3001,17,488.0,4574.307377049179
18,3001,18,579.0,3989.4464480874303
19,3001,19,339.0,3335.8480874316956
20,3001,20,223.0,2951.749180327868
21,3001,21,192.0,2986.504371584699
22,3001,22,126.0,2713.7748633879787
23,3001,23,106.0,2204.707103825135
24,3002,0,42.0,613.0426229508194
25,3002,1,31.0,438.90928961748654
26,3002,2,20.0,350.141530054645
27,3002,3,16.0,310.6781420765026
28,3002,4,16.0,312.4114754098361
29,3002,5,53.0,381.01311475409847
30,3002,6,102.0,709.6808743169405
31,3002,7,206.0,1433.1224043715838
32,3002,8,394.0,1928.3972677595636
33,3002,9,262.0,1732.0076502732222
34,3002,10,236.0,1695.924043715847
35,3002,11,271.0,1808.165027322405
36,3002,12,275.0,1886.0273224043735
37,3002,13,252.0,1858.7065573770496
38,3002,14,211.0,1909.1999999999996
39,3002,15,203.0,1993.9153005464484
40,3002,16,197.0,2060.2606557377067
41,3002,17,187.0,2070.0086065573764
42,3002,18,155.0,1695.383606557377
43,3002,19,125.0,1352.192349726776
44,3002,20,105.0,1164.271584699453
45,3002,21,93.0,1195.474863387978
46,3002,22,90.0,1083.7295081967216
47,3002,23,51.0,857.0437158469954
48,3003,0,25.0,766.3765027322403
49,3003,1,11.0,537.1453551912566
50,3003,2,10.0,420.1715846994538
51,3003,3,3.0,361.6174863387978
52,3003,4,33.0,341.60273224043704
53,3003,5,44.0,438.0442622950821
54,3003,6,133.0,943.1721311475413
55,3003,7,297.0,2066.953551912569
56,3003,8,590.0,2895.785245901639
57,3003,9,343.0,2565.6661202185796
58,3003,10,239.0,2436.6808743169404
59,3003,11,223.0,2585.185245901638
60,3003,12,220.0,2676.964480874317
61,3003,13,233.0,2624.0065573770516
62,3003,14,186.0,2713.6289617486345
63,3003,15,185.0,2842.089617486338
64,3003,16,132.0,3003.8868852459013
65,3003,17,166.0,3059.6662568306006
66,3003,18,153.0,2395.923497267758
67,3003,19,114.0,1866.2163934426242
68,3003,20,72.0,1587.2109289617488
69,3003,21,57.0,1579.380327868851
70,3003,22,49.0,1394.8956284153003
71,3003,23,47.0,1097.205464480874
72,3004,0,,588.9125683060105
73,3004,1,,388.83715846994517
74,3004,2,,291.50491803278663
75,3004,3,,248.02459016393448
76,3004,4,,255.2999999999999
77,3004,5,,359.1169398907103
78,3004,6,,800.5661202185793
79,3004,7,,1789.8153005464465
80,3004,8,,2472.2557377049175
81,3004,9,,2220.5005464480882
82,3004,10,,2168.161202185793
83,3004,11,,2312.756830601094
84,3004,12,,2410.738251366118
85,3004,13,,2371.165573770492
86,3004,14,,2428.9803278688532
87,3004,15,,2507.816393442624
88,3004,16,,2607.383060109291
89,3004,17,,2633.6073770491794
90,3004,18,,2144.37868852459
91,3004,19,,1669.8311475409832
92,3004,20,,1340.3836065573773
93,3004,21,,1304.9387978142067
94,3004,22,,1152.8218579234976
95,3004,23,,870.6710382513667
96,3005,0,11.0,790.3103825136615
97,3005,1,3.0,628.5775956284153
98,3005,2,5.0,555.8054644808741
99,3005,3,9.0,525.5278688524595
100,3005,4,13.0,535.492349726776
101,3005,5,67.0,654.1295081967219
102,3005,6,182.0,1136.5278688524588
103,3005,7,479.0,2296.3442622950834
104,3005,8,862.0,3312.573770491805
105,3005,9,468.0,2655.9748633879794
106,3005,10,253.0,2453.0601092896163
107,3005,11,231.0,2610.5579234972674
108,3005,12,258.0,2734.315846994534
109,3005,13,232.0,2669.489617486339
110,3005,14,216.0,2734.358469945356
111,3005,15,193.0,2884.8934426229503
112,3005,16,187.0,3078.9355191256823
113,3005,17,232.0,3259.7926229508207
114,3005,18,186.0,2464.6092896174882
115,3005,19,116.0,1866.7158469945348
116,3005,20,69.0,1516.6961748633876
117,3005,21,48.0,1479.2191256830597
118,3005,22,47.0,1317.7754098360651
119,3005,23,23.0,1031.3087431693993
120,3006,0,,509.09617486338783
121,3006,1,,320.80273224043725
122,3006,2,,231.07704918032775
123,3006,3,,195.99726775956285
124,3006,4,,269.76721311475404
125,3006,5,,505.9267759562842
126,3006,6,,1032.3639344262294
127,3006,7,,2257.827322404372
128,3006,8,,3357.5846994535536
129,3006,9,,2876.212021857921
130,3006,10,,2802.456830601092
131,3006,11,,3006.849180327869
132,3006,12,,3169.6284153005477
133,3006,13,,3072.46557377049
134,3006,14,,3115.5699453551933
135,3006,15,,3266.168306010928
136,3006,16,,3356.4885245901655
137,3006,17,,3567.768715846997
138,3006,18,,2731.8065573770486
139,3006,19,,2063.6256830601105
140,3006,20,,1569.0934426229528
141,3006,21,,1447.4060109289624
142,3006,22,,1201.330601092897
143,3006,23,,794.9087431693988
144,3007,0,11.0,853.5387978142076
145,3007,1,16.0,705.7819672131145
146,3007,2,15.0,638.0032786885246
147,3007,3,12.0,609.1754098360659
148,3007,4,16.0,613.0863387978139
149,3007,5,56.0,689.2612021857926
150,3007,6,162.0,993.1617486338802
151,3007,7,280.0,1779.2825136612014
152,3007,8,567.0,2631.1928961748627
153,3007,9,409.0,2244.59180327869
154,3007,10,324.0,2189.667759562843
155,3007,11,324.0,2335.4284153005465
156,3007,12,379.0,2474.5972677595632
157,3007,13,332.0,2425.034426229508
158,3007,14,251.0,2441.2978142076504
159,3007,15,231.0,2471.620218579236
160,3007,16,222.0,2466.272131147539
161,3007,17,334.0,2622.980054644809
162,3007,18,376.0,2147.8415300546462
163,3007,19,293.0,1831.378142076502
164,3007,20,112.0,1529.6502732240444
165,3007,21,95.0,1474.7983606557386
166,3007,22,75.0,1327.8590163934423
167,3007,23,40.0,1076.2464480874316
168,3008,0,,542.8562841530053
169,3008,1,,430.34863387978146
170,3008,2,,378.9967213114756
171,3008,3,,356.5661202185789
172,3008,4,,358.0174863387979
173,3008,5,,427.5655737704914
174,3008,6,,719.5759562841527
175,3008,7,,1464.2584699453578
176,3008,8,,2285.536612021857
177,3008,9,,1818.7245901639333
178,3008,10,,1696.7480874316932
179,3008,11,,1797.707650273224
180,3008,12,,1933.8371584699448
181,3008,13,,1875.3185792349707
182,3008,14,,1875.3316939890701
183,3008,15,,1924.4885245901646
184,3008,16,,2003.5901639344263
185,3008,17,,2233.136065573771
186,3008,18,,1703.3229508196725
187,3008,19,,1342.0568306010932
188,3008,20,,1075.9426229508197
189,3008,21,,1031.2322404371585
190,3008,22,,934.7699453551912
191,3008,23,,721.8530054644809
192,3009,0,22.0,254.36284153005457
193,3009,1,11.0,153.6677595628416
194,3009,2,10.0,109.98797814207649
195,3009,3,9.0,90.21420765027321
196,3009,4,8.0,92.30109289617494
197,3009,5,39.0,154.41639344262293
198,3009,6,106.0,388.7846994535519
199,3009,7,327.0,1080.310928961748
200,3009,8,534.0,1871.4661202185812
201,3009,9,383.0,1429.6043715846984
202,3009,10,291.0,1338.247540983606
203,3009,11,295.0,1431.9278688524578
204,3009,12,317.0,1547.1945355191249
205,3009,13,286.0,1488.206010928962
206,3009,14,225.0,1480.744262295083
207,3009,15,232.0,1585.2666666666682
208,3009,16,256.0,1643.32131147541
209,3009,17,364.0,1896.828278688525
210,3009,18,372.0,1366.7693989071036
211,3009,19,269.0,1010.9978142076504
212,3009,20,143.0,757.5311475409828
213,3009,21,123.0,709.1010928961747
214,3009,22,86.0,605.3841530054642
215,3009,23,55.0,417.5688524590165
216,3010,0,,227.02240437158488
217,3010,1,,137.6759562841529
218,3010,2,,100.91420765027318
219,3010,3,,83.35628415300546
220,3010,4,,86.47540983606561
221,3010,5,,154.72786885245904
222,3010,6,,409.4601092896175
223,3010,7,,1184.8819672131146
224,3010,8,,2051.448633879781
225,3010,9,,1478.5573770491817
226,3010,10,,1361.8475409836067
227,3010,11,,1460.8715846994535
228,3010,12,,1580.1491803278693
229,3010,13,,1512.8202185792331
230,3010,14,,1520.3256830601101
231,3010,15,,1683.1754098360652
232,3010,16,,1777.9715846994518
233,3010,17,,2107.1234972677603
234,3010,18,,1422.7885245901641
235,3010,19,,982.5715846994534
236,3010,20,,732.6043715847003
237,3010,21,,670.8437158469948
238,3010,22,,566.6191256830602
239,3010,23,,374.0890710382514
240,3011,0,46.0,381.254098360656
241,3011,1,35.0,275.9765027322404
242,3011,2,15.0,229.49508196721294
243,3011,3,7.0,208.5606557377049
244,3011,4,24.0,224.9284153005463
245,3011,5,174.0,345.51202185792346
246,3011,6,374.0,712.4251366120222
247,3011,7,626.0,1613.849180327869
248,3011,8,1160.0,2425.801639344263
249,3011,9,848.0,1893.6803278688535
250,3011,10,618.0,1747.7737704918034
251,3011,11,592.0,1839.0371584699444
252,3011,12,646.0,1977.1398907103821
253,3011,13,682.0,1911.3672131147541
254,3011,14,633.0,1943.7683060109289
255,3011,15,762.0,2149.4737704918034
256,3011,16,792.0,2320.516393442624
257,3011,17,931.0,2667.41475409836
258,3011,18,744.0,1839.8508196721316
259,3011,19,518.0,1264.4136612021864
260,3011,20,302.0,982.2535519125686
261,3011,21,249.0,913.0016393442622
262,3011,22,233.0,791.0147540983609
263,3011,23,117.0,560.5005464480873
264,3012,0,,652.0918032786885
265,3012,1,,452.5704918032785
266,3012,2,,360.7928961748634
267,3012,3,,332.486338797814
268,3012,4,,349.8284153005466
269,3012,5,,473.3502732240438
270,3012,6,,976.7562841530056
271,3012,7,,1925.2191256830604
272,3012,8,,2621.287431693988
273,3012,9,,2391.9978142076493
274,3012,10,,2428.6939890710405
275,3012,11,,2626.3109289617496
276,3012,12,,2751.7562841530057
277,3012,13,,2720.151912568307
278,3012,14,,2767.5344262295093
279,3012,15,,2829.2661202185805
280,3012,16,,2750.021311475409
281,3012,17,,2698.027732240436
282,3012,18,,2205.3196721311465
283,3012,19,,1732.5644808743166
284,3012,20,,1436.1693989071025
285,3012,21,,1447.749726775957
286,3012,22,,1221.3978142076508
287,3012,23,,937.3109289617481
288,3013,0,,390.36393442622915
289,3013,1,,285.56885245901645
290,3013,2,,226.30000000000013
291,3013,3,,188.62950819672122
292,3013,4,,173.02021857923495
293,3013,5,,212.68524590163943
294,3013,6,,466.21202185792333
295,3013,7,,1012.3710382513653
296,3013,8,,1479.8530054644816
297,3013,9,,1313.4754098360659
298,3013,10,,1243.3480874316933
299,3013,11,,1323.5251366120212
300,3013,12,,1348.2234972677597
301,3013,13,,1322.2377049180323
302,3013,14,,1365.6513661202184
303,3013,15,,1415.3333333333335
304,3013,16,,1529.3240437158465
305,3013,17,,1542.1703551912549
306,3013,18,,1148.1551912568311
307,3013,19,,881.8158469945353
308,3013,20,,752.7950819672129
309,3013,21,,738.3273224043712
310,3013,22,,649.2573770491799
311,3013,23,,543.3928961748632
312,3014,0,,1424.5846994535523
313,3014,1,,1051.0120218579232
314,3014,2,,854.763934426229
315,3014,3,,808.7300546448083
316,3014,4,,837.9071038251368
317,3014,5,,1034.1743169398903
318,3014,6,,1865.1327868852466
319,3014,7,,3266.778688524592
320,3014,8,,4155.428415300546
321,3014,9,,3867.3595628415296
322,3014,10,,3786.6956284153025
323,3014,11,,3978.851366120217
324,3014,12,,4159.520765027323
325,3014,13,,4092.1415300546473
326,3014,14,,4214.189617486341
327,3014,15,,4407.89071038251
328,3014,16,,4320.600546448089
329,3014,17,,4294.81475409836
330,3014,18,,3759.0934426229505
331,3014,19,,3009.3590163934405
332,3014,20,,2545.4519125683064
333,3014,21,,2617.3524590163943
334,3014,22,,2381.6300546448088
335,3014,23,,1942.6169398907111
336,3015,0,,277.6699453551911
337,3015,1,,205.41803278688536
338,3015,2,,167.06721311475414
339,3015,3,,154.07158469945355
340,3015,4,,135.3540983606558
341,3015,5,,155.83661202185775
342,3015,6,,343.2775956284153
343,3015,7,,786.175956284153
344,3015,8,,1140.9278688524594
345,3015,9,,970.4311475409837
346,3015,10,,869.199999999999
347,3015,11,,909.6699453551917
348,3015,12,,944.1360655737703
349,3015,13,,918.8240437158466
350,3015,14,,950.2251366120216
351,3015,15,,1001.6316939890719
352,3015,16,,1140.2092896174863
353,3015,17,,1188.27281420765
354,3015,18,,845.6666666666669
355,3015,19,,623.6748633879788
356,3015,20,,537.6431693989067
357,3015,21,,531.3366120218575
358,3015,22,,477.5775956284151
359,3015,23,,388.15245901639366
360,3016,0,37.0,422.33715846994534
361,3016,1,22.0,266.0043715846999
362,3016,2,15.0,196.00765027322393
363,3016,3,22.0,166.55464480874312
364,3016,4,12.0,216.32622950819672
365,3016,5,73.0,396.4000000000003
366,3016,6,186.0,789.9590163934424
367,3016,7,445.0,1707.0426229508205
368,3016,8,948.0,2504.1595628415303
369,3016,9,590.0,2109.883606557376
370,3016,10,387.0,2022.0961748633858
371,3016,11,417.0,2157.614207650272
372,3016,12,437.0,2256.2240437158484
373,3016,13,369.0,2203.1191256830602
374,3016,14,297.0,2238.9136612021857
375,3016,15,286.0,2309.626229508198
376,3016,16,325.0,2360.191803278688
377,3016,17,367.0,2474.3789617486345
378,3016,18,381.0,1900.9546448087428
379,3016,19,224.0,1494.4792349726783
380,3016,20,84.0,1192.5622950819675
381,3016,21,90.0,1108.5765027322404
382,3016,22,82.0,931.787431693989
383,3016,23,35.0,635.3273224043713
384,3017,0,,379.7912568306011
385,3017,1,,278.3524590163935
386,3017,2,,222.19617486338794
387,3017,3,,186.34699453551917
388,3017,4,,166.82459016393454
389,3017,5,,195.09289617486354
390,3017,6,,413.6027322404373
391,3017,7,,953.1907103825134
392,3017,8,,1392.7874316939901
393,3017,9,,1214.6852459016407
394,3017,10,,1157.9994535519127
395,3017,11,,1271.0978142076501
396,3017,12,,1342.5316939890715
397,3017,13,,1325.53825136612
398,3017,14,,1382.9010928961748
399,3017,15,,1487.5579234972677
400,3017,16,,1649.8950819672125
401,3017,17,,1652.7338797814193
402,3017,18,,1176.0781420765024
403,3017,19,,856.4896174863379
404,3017,20,,747.240983606557
405,3017,21,,737.8661202185785
406,3017,22,,645.3672131147538
407,3017,23,,531.374863387978
408,3018,0,11.0,626.1923497267759
409,3018,1,9.0,427.4262295081964
410,3018,2,9.0,335.7142076502732
411,3018,3,6.0,303.1797814207652
412,3018,4,7.0,316.38469945355195
413,3018,5,32.0,452.6404371584703
414,3018,6,131.0,980.7267759562848
415,3018,7,304.0,1908.2371584699429
416,3018,8,570.0,2563.7595628415315
417,3018,9,431.0,2334.7071038251374
418,3018,10,333.0,2341.4131147540984
419,3018,11,360.0,2512.713661202188
420,3018,12,393.0,2650.139890710381
421,3018,13,305.0,2606.1797814207657
422,3018,14,271.0,2648.9535519125693
423,3018,15,199.0,2764.5836065573762
424,3018,16,181.0,2771.7775956284154
425,3018,17,202.0,2763.0538251366124
426,3018,18,239.0,2241.0202185792346
427,3018,19,110.0,1729.6382513661201
428,3018,20,64.0,1468.9480874316937
429,3018,21,35.0,1487.8710382513652
430,3018,22,38.0,1239.133333333333
431,3018,23,23.0,936.1797814207652
432,3019,0,8.0,408.4027322404372
433,3019,1,3.0,295.8185792349725
434,3019,2,7.0,235.4715846994537
435,3019,3,2.0,193.70382513661215
436,3019,4,9.0,167.8792349726777
437,3019,5,13.0,207.57540983606552
438,3019,6,65.0,444.3775956284152
439,3019,7,204.0,987.6054644808743
440,3019,8,372.0,1490.711475409836
441,3019,9,302.0,1283.974863387978
442,3019,10,192.0,1230.97431693989
443,3019,11,211.0,1347.2983606557375
444,3019,12,228.0,1436.5169398907103
445,3019,13,201.0,1423.220218579235
446,3019,14,165.0,1461.0983606557377
447,3019,15,123.0,1550.6431693989075
448,3019,16,87.0,1656.6469945355188
449,3019,17,95.0,1733.9642076502732
450,3019,18,88.0,1224.0759562841527
451,3019,19,64.0,936.790163934427
452,3019,20,35.0,821.6513661202192
453,3019,21,23.0,839.233879781421
454,3019,22,23.0,714.0519125683065
455,3019,23,12.0,571.8404371584701
456,3020,0,20.0,681.2437158469943
457,3020,1,7.0,487.1967213114756
458,3020,2,7.0,382.8322404371587
459,3020,3,7.0,314.297267759563
460,3020,4,18.0,282.3743169398909
461,3020,5,21.0,363.8109289617487
462,3020,6,121.0,830.1327868852457
463,3020,7,440.0,1921.5081967213134
464,3020,8,764.0,2759.2032786885243
465,3020,9,394.0,2303.7420765027327
466,3020,10,268.0,2200.6519125683067
467,3020,11,309.0,2394.414754098359
468,3020,12,285.0,2525.7896174863386
469,3020,13,243.0,2480.6442622950804
470,3020,14,202.0,2574.4502732240444
471,3020,15,192.0,2752.0448087431696
472,3020,16,156.0,2972.2765027322403
473,3020,17,207.0,3089.930601092899
474,3020,18,181.0,2234.81912568306
475,3020,19,106.0,1676.3267759562823
476,3020,20,77.0,1440.6945355191262
477,3020,21,65.0,1431.8322404371586
478,3020,22,60.0,1225.0344262295082
479,3020,23,43.0,970.2923497267758
480,3021,0,13.0,477.1792349726773
481,3021,1,9.0,333.7562841530052
482,3021,2,5.0,262.60218579234964
483,3021,3,1.0,220.1715846994536
484,3021,4,5.0,212.43005464480876
485,3021,5,28.0,298.8475409836065
486,3021,6,60.0,706.5284153005471
487,3021,7,193.0,1787.7071038251368
488,3021,8,219.0,2576.6218579234996
489,3021,9,157.0,2160.6693989071046
490,3021,10,212.0,2095.129508196721
491,3021,11,247.0,2308.9306010928967
492,3021,12,283.0,2438.3245901639357
493,3021,13,312.0,2365.89344262295
494,3021,14,250.0,2430.3748633879777
495,3021,15,249.0,2567.637158469944
496,3021,16,223.0,2795.758469945356
497,3021,17,345.0,2934.611612021858
498,3021,18,255.0,2059.9207650273206
499,3021,19,150.0,1460.9153005464477
500,3021,20,78.0,1163.1562841530047
501,3021,21,46.0,1115.2874316939897
502,3021,22,41.0,923.3737704918049
503,3021,23,20.0,688.0180327868848
504,3022,0,9.0,433.44699453551937
505,3022,1,12.0,299.12568306010905
506,3022,2,8.0,237.7153005464481
507,3022,3,8.0,200.2939890710381
508,3022,4,14.0,192.19180327868844
509,3022,5,77.0,302.0267759562841
510,3022,6,188.0,811.9956284153004
511,3022,7,768.0,2227.346994535521
512,3022,8,1233.0,3378.095628415297
513,3022,9,708.0,2527.383606557377
514,3022,10,310.0,2307.0459016393424
515,3022,11,296.0,2509.7377049180323
516,3022,12,318.0,2658.324043715848
517,3022,13,285.0,2572.484153005463
518,3022,14,230.0,2643.1535519125696
519,3022,15,177.0,2848.0639344262313
520,3022,16,155.0,3156.766120218576
521,3022,17,232.0,3419.501502732242
522,3022,18,215.0,2288.59781420765
523,3022,19,120.0,1560.8043715846998
524,3022,20,68.0,1176.494535519126
525,3022,21,52.0,1129.4185792349726
526,3022,22,38.0,920.8092896174852
527,3022,23,17.0,652.2459016393441
528,3023,0,15.0,463.4071038251365
529,3023,1,7.0,310.36994535519153
530,3023,2,4.0,242.89398907103813
531,3023,3,7.0,210.84644808743187
532,3023,4,7.0,238.64918032786903
533,3023,5,29.0,406.8551912568308
534,3023,6,185.0,974.0879781420765
535,3023,7,411.0,2376.505464480875
536,3023,8,698.0,3321.431147540982
537,3023,9,389.0,2751.1377049180305
538,3023,10,250.0,2601.3579234972676
539,3023,11,184.0,2800.6661202185796
540,3023,12,226.0,2981.115846994534
541,3023,13,227.0,2878.263387978142
542,3023,14,186.0,2943.1442622950826
543,3023,15,192.0,3149.7196721311493
544,3023,16,187.0,3362.117486338795
545,3023,17,233.0,3572.1793715846975
546,3023,18,187.0,2611.0240437158473
547,3023,19,132.0,1859.2846994535512
548,3023,20,65.0,1429.1448087431688
549,3023,21,55.0,1353.3551912568312
550,3023,22,42.0,1099.4983606557378
551,3023,23,15.0,733.9896174863393
552,3024,0,26.0,391.01092896174845
553,3024,1,16.0,265.0775956284152
554,3024,2,14.0,207.45355191256817
555,3024,3,14.0,177.56612021857916
556,3024,4,21.0,164.57431693989076
557,3024,5,78.0,250.46010928961758
558,3024,6,309.0,718.1142076502733
559,3024,7,342.0,1879.1333333333341
560,3024,8,470.0,2692.0622950819684
561,3024,9,393.0,2163.1584699453547
562,3024,10,229.0,2008.4469945355181
563,3024,11,205.0,2175.91693989071
564,3024,12,248.0,2350.2885245901634
565,3024,13,208.0,2276.9748633879776
566,3024,14,217.0,2337.374863387978
567,3024,15,212.0,2502.2885245901657
568,3024,16,258.0,2703.2360655737707
569,3024,17,303.0,2831.47868852459
570,3024,18,282.0,2030.8978142076505
571,3024,19,205.0,1472.1765027322404
572,3024,20,96.0,1122.5131147540983
573,3024,21,80.0,1093.6114754098362
574,3024,22,74.0,882.667213114754
575,3024,23,32.0,607.1081967213111
576,3025,0,,427.4469945355192
577,3025,1,,300.7961748633877
578,3025,2,,247.3825136612023
579,3025,3,,217.20054644808732
580,3025,4,,205.26557377049204
581,3025,5,,285.7469945355189
582,3025,6,,773.6890710382511
583,3025,7,,1925.844262295083
584,3025,8,,2699.7737704918036
585,3025,9,,2119.7333333333354
586,3025,10,,1970.2316939890725
587,3025,11,,2123.634426229509
588,3025,12,,2313.1907103825133
589,3025,13,,2220.9333333333348
590,3025,14,,2280.420765027326
591,3025,15,,2490.9939890710393
592,3025,16,,2776.325683060109
593,3025,17,,2922.2430327868883
594,3025,18,,2095.9147540983604
595,3025,19,,1474.2584699453557
596,3025,20,,1140.681420765028
597,3025,21,,1115.1360655737694
598,3025,22,,918.918032786886
599,3025,23,,649.6043715846995
600,3026,0,27.0,339.8743169398906
601,3026,1,15.0,225.43551912568307
602,3026,2,7.0,177.14098360655737
603,3026,3,6.0,149.17267759562836
604,3026,4,4.0,141.26502732240442
605,3026,5,60.0,221.0606557377051
606,3026,6,179.0,679.6633879781422
607,3026,7,241.0,1785.8693989071035
608,3026,8,478.0,2524.8459016393435
609,3026,9,322.0,2051.5628415300544
610,3026,10,267.0,1918.8688524590168
611,3026,11,225.0,2072.65519125683
612,3026,12,266.0,2256.17431693989
613,3026,13,251.0,2154.6699453551914
614,3026,14,212.0,2198.993442622951
615,3026,15,254.0,2429.2830601092896
616,3026,16,246.0,2681.1677595628416
617,3026,17,341.0,2852.2572404371595
618,3026,18,311.0,2014.746448087432
619,3026,19,247.0,1382.9830601092901
620,3026,20,100.0,1048.2464480874319
621,3026,21,106.0,1011.0142076502738
622,3026,22,71.0,803.0612021857919
623,3026,23,36.0,546.3387978142073
624,3027,0,,315.37978142076497
625,3027,1,,208.5601092896176
626,3027,2,,165.98196721311479
627,3027,3,,139.91639344262293
628,3027,4,,129.75245901639332
629,3027,5,,204.92131147540994
630,3027,6,,635.3038251366121
631,3027,7,,1684.6371584699466
632,3027,8,,2351.7289617486363
633,3027,9,,1848.7081967213117
634,3027,10,,1725.5901639344265
635,3027,11,,1875.095081967214
636,3027,12,,2061.903278688521
637,3027,13,,1983.927322404374
638,3027,14,,2044.1524590163929
639,3027,15,,2312.4360655737687
640,3027,16,,2583.5202185792336
641,3027,17,,2770.0284153005464
642,3027,18,,1937.0355191256824
643,3027,19,,1315.8825136612018
644,3027,20,,999.1475409836064
645,3027,21,,939.9153005464473
646,3027,22,,742.8683060109289
647,3027,23,,500.9311475409837
648,3028,0,34.0,591.7306010928962
649,3028,1,32.0,451.14316939890773
650,3028,2,11.0,390.63879781420786
651,3028,3,11.0,358.8863387978142
652,3028,4,33.0,368.7081967213112
653,3028,5,122.0,553.3868852459013
654,3028,6,211.0,1310.551366120218
655,3028,7,534.0,2976.7803278688525
656,3028,8,1100.0,3877.3021857923513
657,3028,9,788.0,3124.732240437158
658,3028,10,584.0,2867.7841530054657
659,3028,11,483.0,3020.5081967213123
660,3028,12,591.0,3222.2961748633884
661,3028,13,616.0,3065.5825136612025
662,3028,14,547.0,3120.9278688524605
663,3028,15,549.0,3465.7087431693963
664,3028,16,672.0,3786.0224043715857
665,3028,17,781.0,4102.964617486339
666,3028,18,645.0,2999.618579234974
667,3028,19,444.0,2053.743715846995
668,3028,20,252.0,1556.3601092896163
669,3028,21,207.0,1461.0584699453552
670,3028,22,160.0,1195.8666666666663
671,3028,23,84.0,854.336065573771
672,3029,0,110.0,929.4480874316945
673,3029,1,69.0,737.0158469945358
674,3029,2,43.0,633.5530054644801
675,3029,3,33.0,581.6923497267762
676,3029,4,56.0,594.6229508196723
677,3029,5,287.0,750.4469945355194
678,3029,6,641.0,1397.4540983606555
679,3029,7,924.0,2620.452459016395
680,3029,8,1308.0,3414.316393442624
681,3029,9,859.0,2727.3519125683056
682,3029,10,515.0,2472.705464480875
683,3029,11,490.0,2586.4579234972684
684,3029,12,516.0,2727.2590163934424
685,3029,13,503.0,2622.472131147541
686,3029,14,470.0,2750.5841530054654
687,3029,15,462.0,3046.0333333333333
688,3029,16,516.0,3445.5901639344256
689,3029,17,646.0,3712.1281420765013
690,3029,18,701.0,2620.0415300546433
691,3029,19,480.0,1916.9049180327868
692,3029,20,372.0,1641.3743169398888
693,3029,21,329.0,1659.273770491803
694,3029,22,253.0,1530.6650273224045
695,3029,23,191.0,1194.6071038251366
696,3030,0,53.0,636.7038251366121
697,3030,1,43.0,465.7661202185792
698,3030,2,27.0,377.14207650273227
699,3030,3,12.0,326.17759562841536
700,3030,4,32.0,312.92459016393445
701,3030,5,187.0,458.2273224043717
702,3030,6,405.0,1032.502732240437
