,site_no,hour_of_day,DestId,index
0,0,0,3001,74
1,0,1,3001,41
2,0,2,3001,58
3,0,3,3001,83
4,0,4,3001,86
5,0,5,3001,122
6,0,6,3001,348
7,0,7,3001,601
8,0,8,3001,833
9,0,9,3001,714
10,0,10,3001,532
11,0,11,3001,588
12,0,12,3001,612
13,0,13,3001,558
14,0,14,3001,499
15,0,15,3001,429
16,0,16,3001,442
17,0,17,3001,488
18,0,18,3001,579
19,0,19,3001,339
20,0,20,3001,223
21,0,21,3001,192
22,0,22,3001,126
23,0,23,3001,106
24,1,0,3002,42
25,1,1,3002,31
26,1,2,3002,20
27,1,3,3002,16
28,1,4,3002,16
29,1,5,3002,53
30,1,6,3002,102
31,1,7,3002,206
32,1,8,3002,394
33,1,9,3002,262
34,1,10,3002,236
35,1,11,3002,271
36,1,12,3002,275
37,1,13,3002,252
38,1,14,3002,211
39,1,15,3002,203
40,1,16,3002,197
41,1,17,3002,187
42,1,18,3002,155
43,1,19,3002,125
44,1,20,3002,105
45,1,21,3002,93
46,1,22,3002,90
47,1,23,3002,51
48,2,0,3003,25
49,2,1,3003,11
50,2,2,3003,10
51,2,3,3003,3
52,2,4,3003,33
53,2,5,3003,44
54,2,6,3003,133
55,2,7,3003,297
56,2,8,3003,590
57,2,9,3003,343
58,2,10,3003,239
59,2,11,3003,223
60,2,12,3003,220
61,2,13,3003,233
62,2,14,3003,186
63,2,15,3003,185
64,2,16,3003,132
65,2,17,3003,166
66,2,18,3003,153
67,2,19,3003,114
68,2,20,3003,72
69,2,21,3003,57
70,2,22,3003,49
71,2,23,3003,47
72,4,0,3005,11
73,4,1,3005,3
74,4,2,3005,5
75,4,3,3005,9
76,4,4,3005,13
77,4,5,3005,67
78,4,6,3005,182
79,4,7,3005,479
80,4,8,3005,862
81,4,9,3005,468
82,4,10,3005,253
83,4,11,3005,231
84,4,12,3005,258
85,4,13,3005,232
86,4,14,3005,216
87,4,15,3005,193
88,4,16,3005,187
89,4,17,3005,232
90,4,18,3005,186
91,4,19,3005,116
92,4,20,3005,69
93,4,21,3005,48
94,4,22,3005,47
95,4,23,3005,23
96,6,0,3007,11
97,6,1,3007,16
98,6,2,3007,15
99,6,3,3007,12
100,6,4,3007,16
101,6,5,3007,56
102,6,6,3007,162
103,6,7,3007,280
104,6,8,3007,567
105,6,9,3007,409
106,6,10,3007,324
107,6,11,3007,324
108,6,12,3007,379
109,6,13,3007,332
110,6,14,3007,251
111,6,15,3007,231
112,6,16,3007,222
113,6,17,3007,334
114,6,18,3007,376
115,6,19,3007,293
116,6,20,3007,112
117,6,21,3007,95
118,6,22,3007,75
119,6,23,3007,40
120,8,0,3009,22
121,8,1,3009,11
122,8,2,3009,10
123,8,3,3009,9
124,8,4,3009,8
125,8,5,3009,39
126,8,6,3009,106
127,8,7,3009,327
128,8,8,3009,534
129,8,9,3009,383
130,8,10,3009,291
131,8,11,3009,295
132,8,12,3009,317
133,8,13,3009,286
134,8,14,3009,225
135,8,15,3009,232
136,8,16,3009,256
137,8,17,3009,364
138,8,18,3009,372
139,8,19,3009,269
140,8,20,3009,143
141,8,21,3009,123
142,8,22,3009,86
143,8,23,3009,55
144,10,0,3192,46
145,10,1,3192,35
146,10,2,3192,15
147,10,3,3192,7
148,10,4,3192,24
149,10,5,3192,174
150,10,6,3192,374
151,10,7,3192,626
152,10,8,3192,1160
153,10,9,3192,848
154,10,10,3192,618
155,10,11,3192,592
156,10,12,3192,646
157,10,13,3192,682
158,10,14,3192,633
159,10,15,3192,762
160,10,16,3192,792
161,10,17,3192,931
162,10,18,3192,744
163,10,19,3192,518
164,10,20,3192,302
165,10,21,3192,249
166,10,22,3192,233
167,10,23,3192,117
168,15,0,6022,37
169,15,1,6022,22
170,15,2,6022,15
171,15,3,6022,22
172,15,4,6022,12
173,15,5,6022,73
174,15,6,6022,186
