,site_no,hour_of_day,DestId,index
0,3001,0,3001,74
1,3001,1,3001,41
2,3001,2,3001,58
3,3001,3,3001,83
4,3001,4,3001,86
5,3001,5,3001,122
6,3001,6,3001,348
7,3001,7,3001,601
8,3001,8,3001,833
9,3001,9,3001,714
10,3001,10,3001,532
11,3001,11,3001,588
12,3001,12,3001,612
13,3001,13,3001,558
14,3001,14,3001,499
15,3001,15,3001,429
16,3001,16,3001,442
17,3001,17,3001,488
18,3001,18,3001,579
19,3001,19,3001,339
20,3001,20,3001,223
21,3001,21,3001,192
22,3001,22,3001,126
23,3001,23,3001,106
24,3002,0,3002,42
25,3002,1,3002,31
26,3002,2,3002,20
27,3002,3,3002,16
28,3002,4,3002,16
29,3002,5,3002,53
30,3002,6,3002,102
31,3002,7,3002,206
32,3002,8,3002,394
33,3002,9,3002,262
34,3002,10,3002,236
35,3002,11,3002,271
36,3002,12,3002,275
37,3002,13,3002,252
38,3002,14,3002,211
39,3002,15,3002,203
40,3002,16,3002,197
41,3002,17,3002,187
42,3002,18,3002,155
43,3002,19,3002,125
44,3002,20,3002,105
45,3002,21,3002,93
46,3002,22,3002,90
47,3002,23,3002,51
48,3003,0,3003,25
49,3003,1,3003,11
50,3003,2,3003,10
51,3003,3,3003,3
52,3003,4,3003,33
53,3003,5,3003,44
54,3003,6,3003,133
55,3003,7,3003,297
56,3003,8,3003,590
57,3003,9,3003,343
58,3003,10,3003,239
59,3003,11,3003,223
60,3003,12,3003,220
61,3003,13,3003,233
62,3003,14,3003,186
63,3003,15,3003,185
64,3003,16,3003,132
65,3003,17,3003,166
66,3003,18,3003,153
67,3003,19,3003,114
68,3003,20,3003,72
69,3003,21,3003,57
70,3003,22,3003,49
71,3003,23,3003,47
72,3005,0,3005,11
73,3005,1,3005,3
74,3005,2,3005,5
75,3005,3,3005,9
76,3005,4,3005,13
77,3005,5,3005,67
78,3005,6,3005,182
79,3005,7,3005,479
80,3005,8,3005,862
81,3005,9,3005,468
82,3005,10,3005,253
83,3005,11,3005,231
84,3005,12,3005,258
85,3005,13,3005,232
86,3005,14,3005,216
87,3005,15,3005,193
88,3005,16,3005,187
89,3005,17,3005,232
90,3005,18,3005,186
91,3005,19,3005,116
92,3005,20,3005,69
93,3005,21,3005,48
94,3005,22,3005,47
95,3005,23,3005,23
96,3007,0,3007,11
97,3007,1,3007,16
98,3007,2,3007,15
99,3007,3,3007,12
100,3007,4,3007,16
101,3007,5,3007,56
102,3007,6,3007,162
103,3007,7,3007,280
104,3007,8,3007,567
105,3007,9,3007,409
106,3007,10,3007,324
107,3007,11,3007,324
108,3007,12,3007,379
109,3007,13,3007,332
110,3007,14,3007,251
111,3007,15,3007,231
112,3007,16,3007,222
113,3007,17,3007,334
114,3007,18,3007,376
115,3007,19,3007,293
116,3007,20,3007,112
117,3007,21,3007,95
118,3007,22,3007,75
119,3007,23,3007,40
120,3009,0,3009,22
121,3009,1,3009,11
122,3009,2,3009,10
123,3009,3,3009,9
124,3009,4,3009,8
125,3009,5,3009,39
126,3009,6,3009,106
127,3009,7,3009,327
