site_no,lat,lon
3001,-34.921568830016874,138.59943582000278
3002,-34.92299887001972,138.59954774005664
3003,-34.92438484000486,138.59963618994132
3004,-34.925769679966514,138.59974990996
3005,-34.92712404998419,138.59983867008197
3006,-34.92858811001757,138.600771290008
3007,-34.93016820003178,138.60008397014323
3008,-34.931508410018836,138.60018652001375
3009,-34.93292601002884,138.60027400005936
3010,-34.93429786997806,138.60037523010664
3011,-34.93573734001138,138.6004782098757
3012,-34.921419390010406,138.60185518014595
3013,-34.924274530023936,138.6019883699054
3014,-34.92165292001463,138.59756550005037
3015,-34.92447871996221,138.59764865009123
3016,-34.92867612000526,138.59914360007244
3017,-34.92417735000723,138.60359610487143
3018,-34.92125698999902,138.60546366993776
3019,-34.922696240012236,138.60557151002507
3020,-34.92407735997561,138.6056676099673
3021,-34.92545316998481,138.60578151986493
3022,-34.92686101002127,138.60588556995265
3023,-34.928336180029135,138.60599751988534
3024,-34.92982041998885,138.6061086999413
3025,-34.93120107001694,138.60621505999865
3026,-34.93260452997346,138.6063160899326
3027,-34.93398974998971,138.6064213899223
3028,-34.93543814000258,138.6065267699542
3029,-34.923305569979846,138.5934266299201
3030,-34.924719729989995,138.5928874201281
3031,-34.924646419998545,138.59431845998415
3032,-34.927467789981804,138.59379675990814
3033,-34.92894706997974,138.59391766009838
3034,-34.93042724998791,138.59401843012847
3035,-34.936040529985235,138.5944343498743
3036,-34.91910623998314,138.60692523986592
3037,-34.92111587997671,138.60779557004096
3038,-34.92256738998054,138.60793200010417
3039,-34.92099547998004,138.61076852990308
3040,-34.922415249984965,138.61090839002162
3041,-34.92804664000773,138.61202496008823
3042,-34.92214739998276,138.58715828998297
3043,-34.92490444000387,138.58756631991713
3044,-34.92925920003503,138.58786944012624
3045,-34.936271720024216,138.58817816992993
3046,-34.90188697002168,138.5944492600269
3047,-34.90596993003448,138.5958799700581
3048,-34.90497883997822,138.60020843992552
3049,-34.90864352998704,138.59683908993827
3050,-34.90942870996488,138.59714139998061
3051,-34.91195768001115,138.59880764994435
3052,-34.92514865001145,138.61184064011834
3053,-34.91556988002719,138.59886491011645
3054,-34.91718504998468,138.59907503991283
3055,-34.91988016998431,138.5992822200059
3056,-34.92396631999874,138.60803344005976
3058,-34.92565458997555,138.60210798004238
3059,-34.93511662002059,138.6125632300782
3060,-34.927045250014814,138.60219267008705
3061,-34.92130981998552,138.6038888599736
3062,-34.92535580997848,138.6081441900974
3064,-34.92310503001298,138.5975880998608
3065,-34.92851177998936,138.60229609999809
3066,-34.926740610024595,138.6082587400404
3067,-34.928769819979834,138.59726007002953
3069,-34.928215780002546,138.60837072996796
3070,-34.91100463999019,138.60123370990974
3071,-34.91759973997747,138.59306150014862
3072,-34.90965160003732,138.59238291997585
3073,-34.93229660997665,138.61235119004232
3074,-34.90782734000564,138.6059509801267
3075,-34.93461488000947,138.5943252099716
3076,-34.923772070016206,138.61114303986093
3077,-34.902926259982074,138.58999994987997
3078,-34.91428775998627,138.60479267008554
3079,-34.92588147001314,138.59766490006353
3080,-34.92729432997786,138.59715510998024
3081,-34.9295128900359,138.612134709959
3082,-34.93907580997961,138.5856253199855
3083,-34.923609870016264,138.58745261002213
3084,-34.92776102998229,138.58776726008503
3085,-34.92488790000695,138.58954390013128
3087,-34.91236663002513,138.60075187005455
3088,-34.91681355003166,138.60582625003158
3089,-34.92607347999262,138.59369312996427
3090,-34.91999975002104,138.58181579007413
3091,-34.929694599997696,138.60850214002366
3092,-34.907311049989666,138.59636391986652
3093,-34.92839680000651,138.6046508400982
3094,-34.93353576002048,138.58820542009548
3095,-34.92915289002972,138.58963502006156
3096,-34.90639793003387,138.5912148999241
3098,-34.91269671001436,138.5935107099593
3099,-34.907615439981534,138.60123495006468
3101,-34.90657961997701,138.60820287000382
3102,-34.930265279971444,138.59702080014495
3103,-34.92596538999542,138.595998579938
3104,-34.93075617000881,138.58799825988828
3105,-34.93368798003424,138.61242001007523
3107,-34.92655386001034,138.61190681997806
3142,-34.921870060017206,138.59333602992842
3145,-34.929978680022195,138.6028906899191
3146,-34.93545471999376,138.60482843007762
3147,-34.92433138003465,138.60083478994332
3148,-34.918129320018885,138.60647161001322
3149,-34.93408620001162,138.6046244501196
3150,-34.906787130031354,138.59230616006553
3151,-34.91869685001126,138.60167090005677
3152,-34.93417894001605,138.60276862987692
3155,-34.933416320009734,138.5902876900456
3156,-34.92695232999092,138.60393417999174
3158,-34.92172289996904,138.59598689993607
3159,-34.92885249998937,138.5958331701474
3160,-34.92187396997343,138.59272558993203
3162,-34.932916580000885,138.5935056200237
3163,-34.90329197002083,138.59491901005035
3164,-34.92104901000762,138.60936100005736
3165,-34.92196174998092,138.59074272004048
3166,-34.921230599986536,138.5850031801069
3167,-34.93614571000051,138.5912532200839
3205,-34.90548989998118,138.59794091993692
3208,-34.9276981800156,138.58914409011422
