date,trans,rain,eva,max_temp,min_temp,max_humid,min_humid,wind,solar
1/01/2013,7.06,0,0,32.42,19.46,70.6,22.6,3.016,26.494
2/01/2013,6.9,0.84,0,29,18.44,72.2,32.4,3.472,27.352
3/01/2013,7.42,0.16,0,30.1,18.02,66.6,26.8,3.68,30.38
4/01/2013,7.76,0.08,0,31.02,17.18,75.8,18.6,3.44,32.632
5/01/2013,7.18,0,0,28.5,16.36,70.2,25.8,3.904,30.858
6/01/2013,8.02,0.56,0,31.86,15.74,60.6,16.4,3.544,30.61
7/01/2013,7.76,0,0,33.7,18.52,66.4,17.4,3.51,27.978
8/01/2013,7.04,1.56,0,29.66,20.62,69,27.4,4.004,26.604
9/01/2013,7.36,1,0,30.36,16.86,67.6,26,3.7,30.078
10/01/2013,7.78,0.24,0,33.06,18.88,68.2,25.4,3.348,31.182
11/01/2013,7.56,0.04,0,31.54,20.7,69,27.2,3.868,26.702
12/01/2013,5.14,1,0,27.08,17.5,80,39.8,2.874,21.02
13/01/2013,5.5,1.04,0,27.7,17.42,77.4,37.8,2.872,21.898
14/01/2013,7.02,5.24,0,30.22,16.86,69.8,26.4,3.138,28.164
15/01/2013,7.42,0,0,33.6,16.84,72.2,19.8,2.496,30.576
16/01/2013,8.26,0,0,34.08,19.44,59.6,20.8,3.2,32.372
17/01/2013,8.5,0,0,34.24,20,71.2,20.6,4.462,27.1
18/01/2013,6.88,0.28,0,27.2,18.56,71,35,4.02,30.664
19/01/2013,6.8,0.04,0,28.42,14.62,69.4,28.4,2.96,31.214
20/01/2013,7.44,0,0,32.52,16.54,67.8,18.6,2.664,31.548
21/01/2013,7.36,0,0,31.76,18.04,68.6,23.6,3.112,30.738
22/01/2013,7.42,0,0,32.1,19.18,68,23.4,3.296,27.83
23/01/2013,7.54,0,0,32.72,18.84,64.6,22.4,3.124,29
24/01/2013,7.1,0.04,0,32.12,18.98,71.6,26.4,2.94,28.85
25/01/2013,7,0,0,30.7,17.94,67.6,24.4,3.378,28.412
26/01/2013,7.26,0.08,0,30.84,17.34,64.6,27,3.208,30.514
27/01/2013,7.18,0,0,32.98,17.8,66.2,22.8,2.806,29.272
28/01/2013,7.3,0.08,0,33.1,18.92,69,26.6,3.314,26.516
29/01/2013,6.56,0.8,0,30.36,17.68,68.4,28.8,3.102,26.996
30/01/2013,7.08,0,0,33.1,19.68,76.4,23.6,3.178,28.494
31/01/2013,7.12,0.44,0,31.32,20.08,66.6,28.2,3.688,26.222
1/02/2013,7.18,1.08,0,30.6,18.48,69.2,22.2,3.81,26.354
2/02/2013,7.22,0,0,33.46,19.18,67.8,28.6,3.218,26.524
3/02/2013,5.8,0.6,0,29.68,19.3,74.4,33,2.932,23.314
4/02/2013,6,0.2,0,30.44,18.02,75,33.2,2.834,25.058
5/02/2013,5.88,2.92,0,27.16,16.34,75,30.8,3.796,24.674
6/02/2013,6.38,0.28,0,29.08,14.52,72.4,22.2,2.804,29.416
7/02/2013,6.26,0.12,0,29.52,16.12,68.8,25.2,2.788,26.822
8/02/2013,6.74,0,0,31.7,17.96,65.2,25.8,2.842,24.82
9/02/2013,6.9,0,0,30.18,18.38,70.2,26.2,3.496,26.552
10/02/2013,6.2,0,0,31.28,18.7,67.6,25.6,3.032,23.02
11/02/2013,5.7,1.44,0,29.66,19.26,73.8,27.8,3.16,20.426
12/02/2013,6.36,3.04,0,29.56,17.9,70,29.8,3.286,23.6
13/02/2013,0,0.08,0,0,17.22,83.8,25.2,2.606,23.702
14/02/2013,0,0,0,30.2,0,72.8,32,3.074,22.208
15/02/2013,0,3.36,0,0,20.88,76.8,36.4,3.402,23.862
16/02/2013,6.68,0,0,31.38,18.74,74.8,29.4,3.09,27.698
17/02/2013,6.52,0,0,32.06,18.86,69.6,26.2,2.732,26.254
18/02/2013,6.32,0.24,0,31.32,20.4,73.2,33,3.426,22.852
19/02/2013,5.66,7.08,0,28.32,18.38,76.6,32.6,3.812,23.884
20/02/2013,5.92,0.4,0,27.32,17.26,79.4,31.6,3.652,24.618
21/02/2013,5.24,0.08,0,25.9,16.04,78,37,3.166,24.134
22/02/2013,5.72,0,0,27.34,16.12,75.4,34,3.328,25.802
23/02/2013,6.2,0,0,30.9,16.52,70.4,24.2,2.556,27.35
24/02/2013,7,0,0,34.38,18.6,65.4,19.2,2.904,25.866
25/02/2013,6.08,0.16,0,31.98,20.14,65.6,29.4,2.856,22.446
26/02/2013,5.56,0.36,0,32.38,20.44,69.4,25.2,2.574,20.11
27/02/2013,5.12,0,0,27.84,19.62,72,39,2.954,20.832
28/02/2013,5.32,0.72,0,24.56,16.38,72.8,36.6,4.186,22.328
1/03/2013,5.44,3.12,0,24.64,14.1,73.8,34.2,4.216,23.854
2/03/2013,5.74,0,0,27.28,14.38,72,28.8,3.528,24.724
3/03/2013,5.74,0,0,29.28,15.04,71,28.6,2.718,25.492
4/03/2013,6.24,0.04,0,30.42,18.06,68,26.2,3.388,24.298
5/03/2013,5.14,0.04,0,27.3,16.98,74.8,37.6,3.268,22.292
6/03/2013,5.44,0.32,0,28.14,16.36,69,30.6,3.374,21.618
7/03/2013,5.5,1.32,0,29.46,17.66,72,29.8,3.42,20.174
8/03/2013,4.48,6.12,0,27.76,18.48,77.4,44,3.154,17.772
9/03/2013,4.74,3.36,0,28.4,17.54,78.4,31.8,2.784,19.514
10/03/2013,4.3,0.04,0,27.04,16.84,76,36,2.564,18.298
