,rain,max_temp,min_temp,max_humid,min_humid,wind,solar,day_of_year
0,0.0,32.42,19.46,70.6,22.6,3.016,26.494,1
1,0.84,29.0,18.44,72.2,32.4,3.472,27.351999999999997,2
2,0.16,30.1,18.02,66.6,26.8,3.68,30.38,3
3,0.08,31.02,17.18,75.8,18.6,3.44,32.632,4
4,0.0,28.5,16.36,70.2,25.8,3.904,30.858,5
5,0.56,31.86,15.74,60.6,16.4,3.5439999999999996,30.61,6
6,0.0,33.7,18.52,66.4,17.4,3.51,27.978,7
7,1.56,29.66,20.62,69.0,27.4,4.004,26.604,8
8,1.0,30.36,16.86,67.6,26.0,3.7,30.078000000000003,9
9,0.24,33.06,18.88,68.2,25.4,3.3480000000000003,31.182,10
10,0.04,31.54,20.7,69.0,27.2,3.8680000000000003,26.701999999999998,11
11,1.0,27.08,17.5,80.0,39.8,2.8739999999999997,21.02,12
12,1.04,27.7,17.42,77.4,37.8,2.872,21.898000000000003,13
13,5.24,30.22,16.86,69.8,26.4,3.138,28.164,14
14,0.0,33.6,16.84,72.2,19.8,2.496,30.576,15
15,0.0,34.08,19.44,59.6,20.8,3.2,32.372,16
16,0.0,34.24,20.0,71.2,20.6,4.462,27.1,17
17,0.28,27.2,18.56,71.0,35.0,4.02,30.664,18
18,0.04,28.42,14.62,69.4,28.4,2.96,31.214000000000002,19
19,0.0,32.52,16.54,67.8,18.6,2.6639999999999997,31.548000000000002,20
20,0.0,31.76,18.04,68.6,23.6,3.112,30.738000000000003,21
21,0.0,32.1,19.18,68.0,23.4,3.2960000000000003,27.83,22
22,0.0,32.72,18.84,64.6,22.4,3.1239999999999997,29.0,23
23,0.04,32.12,18.98,71.6,26.4,2.94,28.85,24
24,0.0,30.7,17.94,67.6,24.4,3.378,28.412,25
25,0.08,30.84,17.34,64.6,27.0,3.208,30.514,26
26,0.0,32.98,17.8,66.2,22.8,2.806,29.272,27
27,0.08,33.1,18.92,69.0,26.6,3.3139999999999996,26.516,28
28,0.8,30.36,17.68,68.4,28.8,3.102,26.996,29
29,0.0,33.1,19.68,76.4,23.6,3.178,28.494,30
30,0.44,31.32,20.08,66.6,28.2,3.688,26.221999999999998,31
31,1.08,30.6,18.48,69.2,22.2,3.81,26.354,32
32,0.0,33.46,19.18,67.8,28.6,3.218,26.524,33
33,0.6,29.68,19.3,74.4,33.0,2.932,23.314,34
34,0.2,30.44,18.02,75.0,33.2,2.8339999999999996,25.058000000000003,35
35,2.92,27.16,16.34,75.0,30.8,3.7960000000000003,24.674,36
36,0.28,29.08,14.52,72.4,22.2,2.804,29.416,37
37,0.12,29.52,16.12,68.8,25.2,2.7880000000000003,26.822,38
38,0.0,31.7,17.96,65.2,25.8,2.842,24.82,39
39,0.0,30.18,18.38,70.2,26.2,3.4960000000000004,26.552,40
40,0.0,31.28,18.7,67.6,25.6,3.032,23.02,41
41,1.44,29.66,19.26,73.8,27.8,3.16,20.426,42
42,3.04,29.56,17.9,70.0,29.8,3.286,23.6,43
43,0.08,0.0,17.22,83.8,25.2,2.6060000000000003,23.701999999999998,44
44,0.0,30.2,0.0,72.8,32.0,3.074,22.208000000000002,45
45,3.36,0.0,20.88,76.8,36.4,3.4019999999999997,23.862,46
46,0.0,31.38,18.74,74.8,29.4,3.09,27.698,47
47,0.0,32.06,18.86,69.6,26.2,2.7319999999999998,26.254,48
48,0.24,31.32,20.4,73.2,33.0,3.426,22.851999999999997,49
49,7.08,28.32,18.38,76.6,32.6,3.812,23.884,50
50,0.4,27.32,17.26,79.4,31.6,3.6519999999999997,24.618000000000002,51
51,0.08,25.9,16.04,78.0,37.0,3.1660000000000004,24.134,52
52,0.0,27.34,16.12,75.4,34.0,3.3280000000000003,25.802,53
53,0.0,30.9,16.52,70.4,24.2,2.556,27.35,54
54,0.0,34.38,18.6,65.4,19.2,2.904,25.866,55
55,0.16,31.98,20.14,65.6,29.4,2.8560000000000003,22.445999999999998,56
56,0.36,32.38,20.44,69.4,25.2,2.574,20.11,57
57,0.0,27.84,19.62,72.0,39.0,2.9539999999999997,20.831999999999997,58
58,0.72,24.56,16.38,72.8,36.6,4.186,22.328000000000003,59
59,3.12,24.64,14.1,73.8,34.2,4.216,23.854,60
60,0.0,27.28,14.38,72.0,28.8,3.528,24.724,61
61,0.0,29.28,15.04,71.0,28.6,2.718,25.491999999999997,62
62,0.04,30.42,18.06,68.0,26.2,3.388,24.298000000000002,63
63,0.04,27.3,16.98,74.8,37.6,3.2680000000000002,22.291999999999998,64
